CustomerID,NIK,Annual_Income,Spending_Score,Profession,Work_Experience,Family_Size,province,city,district,gender,birth_datetime,birthday,age,regist_code,birth_year,generation
1,5203172209040014,15000000.0,39,Healthcare,1.0,4,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,Labuhan Haji,Male,2004-09-22,22 September 2004,19,14,2004,Gen. Z (Zoomers)
2,1705032211020016,35000000.0,81,Engineer,3.0,3,BENGKULU,KAB. SELUMA,Talo,Male,2002-11-22,22 November 2002,21,16,2002,Gen. Z (Zoomers)
3,7606055105030001,86000000.0,6,Engineer,1.0,1,SULAWESI BARAT,KAB. MAMUJU TENGAH,Karossa,Female,2003-05-11,11 May 2003,20,1,2003,Gen. Z (Zoomers)
4,7317074601000015,59000000.0,77,Lawyer,0.0,2,SULAWESI SELATAN,KAB. LUWU,Belopa,Female,2000-01-06,06 January 2000,23,15,2000,Gen. Z (Zoomers)
5,3215114911920008,38000000.0,40,Entertainment,2.0,6,JAWA BARAT,KAB. KARAWANG,Cibuaya,Female,1992-11-09,09 November 1992,31,8,1992,Gen. Y (Millenials)
6,1218056904010017,58000000.0,76,Artist,0.0,2,SUMATERA UTARA,KAB. SERDANG BEDAGAI,Tanjung Beringin,Female,2001-04-29,29 April 2001,22,17,2001,Gen. Z (Zoomers)
7,3501125901880011,31000000.0,6,Healthcare,1.0,3,JAWA TIMUR,KAB. PACITAN,Sudimoro,Female,1988-01-19,19 January 1988,35,11,1988,Gen. Y (Millenials)
8,9113265508000019,84000000.0,94,Healthcare,1.0,3,PAPUA,KAB. YAHUKIMO,Pronggoli,Female,2000-08-15,15 August 2000,23,19,2000,Gen. Z (Zoomers)
9,7310080207590019,97000000.0,3,Engineer,0.0,3,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Marang,Male,1959-07-02,02 July 1959,64,19,1959,Boomers
10,1607086104930005,98000000.0,72,Artist,1.0,4,SUMATERA SELATAN,KAB. BANYUASIN,Muara Telang,Female,1993-04-21,21 April 1993,30,5,1993,Gen. Y (Millenials)
11,3525012107560013,7000000.0,14,Engineer,1.0,3,JAWA TIMUR,KAB. GRESIK,Dukun,Male,1956-07-21,21 July 1956,67,13,1956,Boomers
12,8108154704880008,93000000.0,99,Healthcare,4.0,4,MALUKU,KAB. MALUKU BARAT DAYA,Wetar Timur,Female,1988-04-07,07 April 1988,35,8,1988,Gen. Y (Millenials)
13,1103146009650002,80000000.0,15,Executive,0.0,5,ACEH,KAB. ACEH TIMUR,Idi Tunong,Female,1965-09-20,20 September 1965,58,2,1965,Gen. X
14,3217066209990019,91000000.0,77,Lawyer,1.0,1,JAWA BARAT,KAB. BANDUNG BARAT,Ngamprah,Female,1999-09-22,22 September 1999,24,19,1999,Gen. Z (Zoomers)
15,1110140212860006,19000000.0,13,Doctor,0.0,1,ACEH,KAB. ACEH SINGKIL,Kuala Baru,Male,1986-12-02,02 December 1986,37,6,1986,Gen. Y (Millenials)
16,7314072005010017,51000000.0,79,Healthcare,1.0,2,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,Maritengngae,Male,2001-05-20,20 May 2001,22,17,2001,Gen. Z (Zoomers)
17,3208184210880010,29000000.0,35,Homemaker,9.0,5,JAWA BARAT,KAB. KUNINGAN,Cigugur,Female,1988-10-02,02 October 1988,35,10,1988,Gen. Y (Millenials)
18,3210181912030010,89000000.0,66,Healthcare,1.0,6,JAWA BARAT,KAB. MAJALENGKA,Panyingkiran,Male,2003-12-19,19 December 2003,19,10,2003,Gen. Z (Zoomers)
19,3506140810710012,20000000.0,29,Entertainment,1.0,4,JAWA TIMUR,KAB. KEDIRI,Papar,Male,1971-10-08,08 October 1971,52,12,1971,Gen. X
20,1273016211880004,62000000.0,98,Artist,0.0,1,SUMATERA UTARA,KOTA SIBOLGA,Sibolga Utara,Female,1988-11-22,22 November 1988,35,4,1988,Gen. Y (Millenials)
21,9210061210880005,96000000.0,35,Homemaker,12.0,1,PAPUA BARAT,KAB. MAYBRAT,Aitinyo,Male,1988-10-12,12 October 1988,35,5,1988,Gen. Y (Millenials)
22,1214110701980017,4000000.0,73,Healthcare,3.0,4,SUMATERA UTARA,KAB. NIAS SELATAN,Hilimegai,Male,1998-01-07,07 January 1998,25,17,1998,Gen. Z (Zoomers)
23,6210046010770007,42000000.0,5,Artist,13.0,2,KALIMANTAN TENGAH,KAB. GUNUNG MAS,Kahayan Hulu Utara,Female,1977-10-20,20 October 1977,46,7,1977,Gen. X
24,6108042603920009,71000000.0,73,Artist,5.0,2,KALIMANTAN BARAT,KAB. LANDAK,Mandor,Male,1992-03-26,26 March 1992,31,9,1992,Gen. Y (Millenials)
25,3510114208690018,67000000.0,14,Executive,1.0,3,JAWA TIMUR,KAB. BANYUWANGI,Kalibaru,Female,1969-08-02,02 August 1969,54,18,1969,Gen. X
26,7312012701940009,52000000.0,82,Artist,1.0,3,SULAWESI SELATAN,KAB. SOPPENG,Marioriwawo,Male,1994-01-27,27 January 1994,29,9,1994,Gen. Y (Millenials)
27,3208266709780015,68000000.0,32,Healthcare,9.0,8,JAWA BARAT,KAB. KUNINGAN,Hantara,Female,1978-09-27,27 September 1978,45,15,1978,Gen. X
28,6302200504880009,78000000.0,61,Artist,1.0,3,KALIMANTAN SELATAN,KAB. KOTABARU,Pulau Laut Kepulauan,Male,1988-04-05,05 April 1988,35,9,1988,Gen. Y (Millenials)
29,3309054412830011,18000000.0,31,Artist,0.0,1,JAWA TENGAH,KAB. BOYOLALI,Boyolali,Female,1983-12-04,04 December 1983,40,11,1983,Gen. Y (Millenials)
30,5306046501000007,20000000.0,87,Artist,5.0,4,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,Ile Mandiri,Female,2000-01-25,25 January 2000,23,7,2000,Gen. Z (Zoomers)
31,3302190209630001,39000000.0,4,Artist,0.0,3,JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Male,1963-09-02,02 September 1963,60,1,1963,Boomers
32,7207174805020008,34000000.0,73,Doctor,1.0,2,SULAWESI TENGAH,KAB. BANGGAI KEPULAUAN,Bulagi Utara,Female,2002-05-08,08 May 2002,21,8,2002,Gen. Z (Zoomers)
33,3301191808700009,59000000.0,4,Healthcare,1.0,3,JAWA TENGAH,KAB. CILACAP,Patimuan,Male,1970-08-18,18 August 1970,53,9,1970,Gen. X
34,7408021304050001,62000000.0,92,Homemaker,9.0,7,SULAWESI TENGGARA,KAB. KOLAKA UTARA,Pakue,Male,2005-04-13,13 April 2005,18,1,2005,Gen. Z (Zoomers)
35,1401197112740010,91000000.0,14,Lawyer,1.0,2,RIAU,KAB. KAMPAR,Kampar Kiri Tengah,Female,1974-12-31,31 December 1974,48,10,1974,Gen. X
36,3507156205020015,95000000.0,81,Healthcare,3.0,4,JAWA TIMUR,KAB. MALANG,Tajinan,Female,2002-05-22,22 May 2002,21,15,2002,Gen. Z (Zoomers)
37,1505044707810009,14000000.0,17,Doctor,5.0,1,JAMBI,KAB. MUARO JAMBI,Maro Sebo,Female,1981-07-07,07 July 1981,42,9,1981,Gen. Y (Millenials)
38,1108226008930004,62000000.0,73,Healthcare,1.0,5,ACEH,KAB. ACEH UTARA,Simpang Kramat,Female,1993-08-20,20 August 1993,30,4,1993,Gen. Y (Millenials)
39,9117076809870001,9000000.0,26,Artist,8.0,2,PAPUA,KAB. MAPPI,Kaibar,Female,1987-09-28,28 September 1987,36,1,1987,Gen. Y (Millenials)
40,3216084301030008,69000000.0,75,Artist,8.0,2,JAWA BARAT,KAB. BEKASI,Cikarang Barat,Female,2003-01-03,03 January 2003,20,8,2003,Gen. Z (Zoomers)
41,1571114101580018,25000000.0,35,Artist,4.0,1,JAMBI,KOTA JAMBI,Paal Merah,Female,1958-01-01,01 January 1958,65,18,1958,Boomers
42,7109022901990015,85000000.0,92,Healthcare,0.0,2,SULAWESI UTARA,KAB. KEP. SIAU TAGULANDANGBIARO,Siau Barat,Male,1999-01-29,29 January 1999,24,15,1999,Gen. Z (Zoomers)
43,7314011512750019,22000000.0,36,Artist,14.0,3,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,Panca Lautan,Male,1975-12-15,15 December 1975,47,19,1975,Gen. X
44,5302074609920016,33000000.0,61,Artist,1.0,2,NUSA TENGGARA TIMUR,KAB TIMOR TENGAH SELATAN,Amanuban Barat,Female,1992-09-06,06 September 1992,31,16,1992,Gen. Y (Millenials)
45,9124295703740012,72000000.0,28,Engineer,8.0,1,PAPUA,KAB. NDUGA,Wutpaga,Female,1974-03-17,17 March 1974,49,12,1974,Gen. X
46,7326157006990008,3000000.0,65,Lawyer,4.0,2,SULAWESI SELATAN,KAB. TORAJA UTARA,Kesu,Female,1999-06-30,30 June 1999,24,8,1999,Gen. Z (Zoomers)
47,3507167103730019,52000000.0,55,Artist,0.0,4,JAWA TIMUR,KAB. MALANG,Tumpang,Female,1973-03-31,31 March 1973,50,19,1973,Gen. X
48,1276017012960002,71000000.0,47,Healthcare,12.0,1,SUMATERA UTARA,KOTA TEBING TINGGI,Padang Hulu,Female,1996-12-30,30 December 1996,26,2,1996,Gen. Y (Millenials)
49,7606024301940003,78000000.0,42,Healthcare,0.0,4,SULAWESI BARAT,KAB. MAMUJU TENGAH,Pangale,Female,1994-01-03,03 January 1994,29,3,1994,Gen. Y (Millenials)
50,1505096310920005,25000000.0,42,Engineer,1.0,1,JAMBI,KAB. MUARO JAMBI,Bahar Utara,Female,1992-10-23,23 October 1992,31,5,1992,Gen. Y (Millenials)
51,1103137110740007,88000000.0,52,Artist,1.0,2,ACEH,KAB. ACEH TIMUR,Indra Makmu,Female,1974-10-31,31 October 1974,49,7,1974,Gen. X
52,8108162603900005,97000000.0,60,Artist,1.0,2,MALUKU,KAB. MALUKU BARAT DAYA,Kepulauan Romang,Male,1990-03-26,26 March 1990,33,5,1990,Gen. Y (Millenials)
53,9115135401920013,74000000.0,54,Artist,1.0,1,PAPUA,KAB. WAROPEN,Demba,Female,1992-01-14,14 January 1992,31,13,1992,Gen. Y (Millenials)
54,6212040707640003,68000000.0,60,Entertainment,0.0,2,KALIMANTAN TENGAH,KAB. MURUNG RAYA,Permata Intan,Male,1964-07-07,07 July 1964,59,3,1964,Boomers
55,8108034104730009,18000000.0,45,Marketing,1.0,1,MALUKU,KAB. MALUKU BARAT DAYA,Mndona Hiera,Female,1973-04-01,01 April 1973,50,9,1973,Gen. X
56,3518022908760008,95000000.0,41,Artist,14.0,2,JAWA TIMUR,KAB. NGANJUK,Ngetos,Male,1976-08-29,29 August 1976,47,8,1976,Gen. X
57,9107245411720005,71000000.0,50,Healthcare,9.0,4,PAPUA,KAB. PUNCAK JAYA,Molanikime,Female,1972-11-14,14 November 1972,51,5,1972,Gen. X
59,5102065206960003,57000000.0,51,Artist,1.0,3,BALI,KAB. TABANAN,Kediri,Female,1996-06-12,12 June 1996,27,3,1996,Gen. Y (Millenials)
60,3671042412700004,89000000.0,46,Lawyer,1.0,6,BANTEN,KOTA TANGERANG,Benda,Male,1970-12-24,24 December 1970,52,4,1970,Gen. X
62,1309032612040016,50000000.0,55,Artist,9.0,2,SUMATERA BARAT,KAB. KEPULAUAN MENTAWAI,Siberut Selatan,Male,2004-12-26,26 December 2004,18,16,2004,Gen. Z (Zoomers)
63,1202106306560001,50000000.0,52,Lawyer,0.0,3,SUMATERA UTARA,KAB. TAPANULI UTARA,Pagaran,Female,1956-06-23,23 June 1956,67,1,1956,Boomers
64,3524205612690013,48000000.0,59,Lawyer,1.0,2,JAWA TIMUR,KAB. LAMONGAN,Kalitengah,Female,1969-12-16,16 December 1969,53,13,1969,Gen. X
65,1506091206600008,63000000.0,51,Lawyer,7.0,2,JAMBI,KAB. TANJUNG JABUNG BARAT,Muara Papalik,Male,1960-06-12,12 June 1960,63,8,1960,Boomers
66,9204121810050004,9000000.0,59,Entertainment,0.0,2,PAPUA BARAT,KAB. SORONG SELATAN,Wayer,Male,2005-10-18,18 October 2005,18,4,2005,Gen. Z (Zoomers)
67,3278036403800009,3000000.0,50,Doctor,0.0,2,JAWA BARAT,KOTA TASIKMALAYA,Tawang,Female,1980-03-24,24 March 1980,43,9,1980,Gen. X
68,1673086303550008,82000000.0,48,Artist,8.0,4,SUMATERA SELATAN,KOTA LUBUK LINGGAU,Lubuk Linggau Utara II,Female,1955-03-23,23 March 1955,68,8,1955,Boomers
69,1111152610040004,81000000.0,59,Artist,0.0,4,ACEH,KAB. BIREUEN,Peusangan Siblah Krueng,Male,2004-10-26,26 October 2004,19,4,2004,Gen. Z (Zoomers)
70,3202386511910008,97000000.0,47,Homemaker,2.0,2,JAWA BARAT,KAB. SUKABUMI,Purabaya,Female,1991-11-25,25 November 1991,32,8,1991,Gen. Y (Millenials)
72,3278025212760017,9000000.0,42,Entertainment,8.0,2,JAWA BARAT,KOTA TASIKMALAYA,Cipedes,Female,1976-12-12,12 December 1976,46,17,1976,Gen. X
73,6302114307630011,44000000.0,49,Artist,0.0,5,KALIMANTAN SELATAN,KAB. KOTABARU,Pamukan Selatan,Female,1963-07-03,03 July 1963,60,11,1963,Boomers
74,7172046208630002,10000000.0,56,Healthcare,8.0,4,SULAWESI UTARA,KOTA BITUNG,Aertembaga,Female,1963-08-22,22 August 1963,60,2,1963,Boomers
75,7105221901640011,89000000.0,47,Artist,0.0,4,SULAWESI UTARA,KAB. MINAHASA SELATAN,Motoling Timur,Male,1964-01-19,19 January 1964,59,11,1964,Boomers
76,7371140301970009,49000000.0,54,Homemaker,0.0,3,SULAWESI SELATAN,KOTA MAKASSAR,Tamalanrea,Male,1997-01-03,03 January 1997,26,9,1997,Gen. Z (Zoomers)
77,8272025608780010,67000000.0,53,Doctor,0.0,2,MALUKU UTARA,KOTA TIDORE KEPULAUAN,Oba Utara,Female,1978-08-16,16 August 1978,45,10,1978,Gen. X
78,7306131011830001,99000000.0,48,Artist,4.0,3,SULAWESI SELATAN,KAB. GOWA,Pattalasang,Male,1983-11-10,10 November 1983,40,1,1983,Gen. Y (Millenials)
79,9125244508000016,97000000.0,52,Engineer,2.0,2,PAPUA,KAB. PUNCAK,Gome Utara,Female,2000-08-05,05 August 2000,23,16,2000,Gen. Z (Zoomers)
80,6103045903740016,98000000.0,42,Not Employed,1.0,1,KALIMANTAN BARAT,KAB. SANGGAU,Jangkang,Female,1974-03-19,19 March 1974,49,16,1974,Gen. X
81,3471101801660001,52000000.0,51,Healthcare,0.0,4,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,Gondomanan,Male,1966-01-18,18 January 1966,57,1,1966,Gen. X
